player_name,actual_contract_term,Predicted_Term,Final_Contract_Term,TOI%_Rolling_Avg,GAR_Rolling_Avg,A1_Rolling_Avg,TOI%_Weighted_Optimized,TOI_Weighted_Optimized,iCF_Weighted_Optimized,A1_Weighted_Optimized,Goals_Weighted_Optimized
Elias Lindholm,7,5,5,0,9.566666666666668,20.0,0,1483.2350000000001,336.5,22.799999999999997,26.4
Steven Stamkos,4,4,4,0,14.899999999999999,27.0,0,1447.307,409.09999999999997,30.400000000000002,33.2
Jonathan Marchessault,5,4,4,0,6.733333333333334,19.0,0,1274.665,420.90000000000003,17.7,27.4
David Perron,2,2,2,0,5.3999999999999995,16.666666666666668,0,1302.6149999999998,337.59999999999997,18.0,24.099999999999994
Jeff Skinner,1,2,2,0,9.533333333333333,19.0,0,1312.036,402.09999999999997,26.0,31.8
Matt Duchene,1,2,2,0,11.966666666666667,15.666666666666666,0,1259.513,312.5,17.9,24.6
Viktor Arvidsson,2,2,2,0,7.466666666666666,18.333333333333332,0,1228.8000000000002,401.4,22.2,23.2
Jack Roslovic,1,1,1,0,3.933333333333333,13.666666666666666,0,1198.9540000000002,209.4,17.5,13.3
James Van Riemsdyk,1,1,1,0,1.6333333333333335,9.0,0,1012.495,213.89999999999998,8.299999999999999,14.899999999999999
Kailer Yamamoto,1,1,1,0,3.0999999999999996,10.333333333333334,0,1031.444,146.0,8.7,11.8
Victor Olofsson,1,1,1,0,0.033333333333333305,13.0,0,1071.4679999999998,272.5,10.5,24.9
Tomas Tatar,1,1,1,0,4.233333333333333,10.666666666666666,0,1168.033,256.8,11.2,18.0
Brandon Saad,1,1,1,0,4.933333333333333,11.0,0,1143.905,198.70000000000002,13.399999999999999,19.6
Tyler Toffoli,4,3,3,0,10.166666666666666,12.666666666666666,0,1173.6019999999999,394.0,16.7,28.4
Yakov Trenin,4,3,3,0,0.7333333333333334,5.666666666666667,0,1103.075,240.49999999999997,7.4,12.299999999999999
Adam Henrique,2,2,2,0,5.333333333333333,10.0,0,1063.027,216.29999999999998,9.9,20.4
Teuvo Teravainen,3,3,3,0,4.2,16.666666666666668,0,1111.961,238.1,18.400000000000002,13.299999999999999
Anthony Beauvillier,1,1,1,0,-0.33333333333333326,9.333333333333334,0,871.0840000000001,191.0,8.5,10.2
Travis Boyd,1,1,1,0,1.0999999999999999,6.666666666666667,0,1215.753,150.2,8.5,14.1
Corey Perry,1,2,2,0,6.3999999999999995,10.666666666666666,0,944.5129999999999,195.1,9.100000000000001,13.1
Warren Foegele,3,2,2,0,4.066666666666666,9.0,0,877.512,224.1,9.7,12.5
Eric Robinson,1,1,1,0,-1.2666666666666666,8.0,0,958.55,184.1,6.999999999999999,11.2
Mattias Janmark,3,2,2,0,0.4333333333333333,7.333333333333333,0,938.6580000000001,120.99999999999999,9.0,9.8
Jesse Puljujarvi,1,1,1,0,4.233333333333333,8.0,0,791.295,184.1,6.800000000000001,7.800000000000001
Trevor Lewis,1,1,1,0,-0.6666666666666666,3.6666666666666665,0,956.02,203.99999999999997,4.999999999999999,8.0
Christian Fischer,1,1,1,0,-2.033333333333333,6.333333333333333,0,1036.597,175.2,8.9,10.4
Jordan Martinook,3,3,3,0,5.1000000000000005,9.0,0,1085.616,254.29999999999998,12.299999999999999,10.700000000000001
Patrick Maroon,1,1,1,0,-0.6333333333333332,5.666666666666667,0,844.197,123.39999999999999,4.800000000000001,6.1000000000000005
Jason Zucker,1,1,1,0,5.3,6.666666666666667,0,1035.958,277.7,7.9,21.4
Blake Lizotte,2,2,2,0,5.8999999999999995,8.666666666666666,0,956.304,158.39999999999998,13.599999999999998,10.0
Nick Cousins,1,1,1,0,-0.7999999999999999,7.0,0,848.761,166.99999999999997,7.6,8.6
Vladimir Tarasenko,2,2,2,0,4.533333333333333,13.666666666666666,0,760.733,215.6,11.0,14.200000000000001
Tomas Nosek,1,1,1,0,-1.9333333333333333,5.333333333333333,0,829.6009999999999,119.3,5.3999999999999995,6.3
Matt Martin,1,1,1,0,0.6,5.0,0,854.282,144.60000000000002,6.6,6.1
Tyson Jost,1,1,1,0,2.1666666666666665,7.0,0,778.504,149.0,6.8999999999999995,6.8
Danton Heinen,2,2,2,0,7.266666666666667,8.333333333333334,0,746.1839999999999,171.4,8.9,9.899999999999999
Craig Smith,1,1,1,0,2.533333333333333,7.666666666666667,0,594.6940000000001,149.5,3.7,7.3
Kasperi Kapanen,1,1,1,0,-0.8666666666666666,10.666666666666666,0,654.1479999999999,128.2,11.1,8.2
Anthony Mantha,1,1,1,0,5.333333333333333,9.666666666666666,0,855.7429999999999,186.5,10.0,10.6
Dylan Gambrell,1,1,1,0,-1.35,3.0,0,709.787,91.0,4.1,3.9
Sean Monahan,5,4,4,0,2.6333333333333333,10.0,0,575.0409999999999,113.60000000000001,8.3,6.799999999999999
Kevin Labanc,0,0,0,0,-0.3666666666666667,8.666666666666666,0,868.185,210.9,10.6,12.3
Zach Aston-Reese,1,1,1,0,-0.25,2.6666666666666665,0,789.062,146.6,2.5,8.3
Jonathan Drouin,1,2,2,0,2.9333333333333336,11.666666666666666,0,792.3079999999999,120.4,12.8,2.8000000000000003
Steven Lorentz,1,1,1,0,-1.1333333333333335,2.0,0,855.5500000000001,169.7,2.5999999999999996,8.799999999999999
Anthony Duclair,4,4,4,0,4.5,12.333333333333334,0,497.31399999999996,125.39999999999999,8.5,8.6
Noah Gregor,1,1,1,0,-5.0,4.333333333333333,0,741.027,205.2,5.6,9.1
Tyler Johnson,1,1,1,0,-2.966666666666667,8.333333333333334,0,791.785,173.9,10.5,9.799999999999999
Tyler Bertuzzi,4,4,4,0,9.5,8.0,0,622.258,134.6,7.199999999999999,9.3
Austin Watson,1,1,1,0,-1.0,3.0,0,738.7230000000001,134.8,2.0,8.600000000000001
William Carrier,6,5,5,0,5.966666666666666,7.0,0,693.929,169.5,7.3999999999999995,13.6
Ryan Lomberg,2,2,2,0,1.5,3.6666666666666665,0,807.623,191.8,4.5,10.399999999999999
Jesper Boqvist,1,1,1,0,3.533333333333333,4.333333333333333,0,746.959,127.8,4.4,9.4
Daniel Sprong,1,2,2,0,6.233333333333333,9.0,0,696.317,244.5,14.5,17.6
Sam Lafferty,2,2,2,0,-0.03333333333333329,5.333333333333333,0,707.2239999999999,120.9,6.3999999999999995,8.0
Colin Blackwell,1,1,1,0,0.7666666666666666,5.333333333333333,0,601.0590000000001,100.2,6.199999999999999,4.2
Nicolas Aube-Kubel,1,1,1,0,3.8333333333333335,5.0,0,570.4229999999999,126.19999999999999,4.1,5.3
Michael Amadio,3,3,3,0,8.5,4.333333333333333,0,728.252,130.9,6.499999999999999,13.399999999999999
Joel Kiviranta,1,1,1,0,-1.1666666666666667,2.0,0,733.858,125.80000000000001,0.8,6.4
Max Pacioretty,1,1,1,0,2.233333333333334,8.0,0,269.416,104.7,3.3,8.3
Tyler Motte,1,1,1,0,0.7000000000000002,4.333333333333333,0,538.119,111.39999999999999,4.8,4.1
Sam Carrick,3,2,2,0,-0.2666666666666666,2.0,0,548.158,90.8,1.9999999999999998,4.5
Devin Shore,1,1,1,0,0.5333333333333333,4.333333333333333,0,430.152,59.699999999999996,5.299999999999999,2.2
Jakub Vrana,1,1,1,0,-1.0666666666666667,5.666666666666667,0,346.02200000000005,99.7,3.9999999999999996,10.7
Jansen Harkins,2,2,2,0,0.9666666666666665,1.6666666666666667,0,334.39300000000003,59.300000000000004,1.4000000000000001,3.6
Jaret Anderson-Dolan,2,2,2,0,-0.6333333333333333,1.6666666666666667,0,407.1189999999999,65.19999999999999,2.3,5.6
Jack Studnicka,1,1,1,0,-4.833333333333334,1.3333333333333333,0,413.645,88.1,1.2000000000000002,2.9
Kiefer Sherwood,2,2,2,0,2.966666666666667,1.3333333333333333,0,337.37199999999996,78.89999999999999,2.1999999999999997,5.1
Mike Hardman,2,2,2,0,-0.45,0.6666666666666666,0,104.778,14.399999999999999,0.30000000000000004,0.1
